Paper,Chart,Count
P01,Table-based plot,1
P02,Table-based plot,0
P03,Table-based plot,0
P04,Table-based plot,3
P05,Table-based plot,1
P06,Table-based plot,15
P07,Table-based plot,3
P08,Table-based plot,4
P09,Table-based plot,4
P10,Table-based plot,0
P11,Table-based plot,3
P12,Table-based plot,1
P13,Table-based plot,0
P14,Table-based plot,0
P15,Table-based plot,14
P16,Table-based plot,0
P17,Table-based plot,4
P18,Table-based plot,0
P19,Table-based plot,7
P20,Table-based plot,0
P21,Table-based plot,2
P22,Table-based plot,2
P23,Table-based plot,3
P24,Table-based plot,4
P25,Table-based plot,3
P26,Table-based plot,12
P27,Table-based plot,3
P28,Table-based plot,4
P29,Table-based plot,5
P30,Table-based plot,5
P31,Table-based plot,5
P01,Line chart,0
P02,Line chart,0
P03,Line chart,1
P04,Line chart,10
P05,Line chart,0
P06,Line chart,0
P07,Line chart,4
P08,Line chart,1
P09,Line chart,5
P10,Line chart,7
P11,Line chart,4
P12,Line chart,0
P13,Line chart,0
P14,Line chart,4
P15,Line chart,6
P16,Line chart,0
P17,Line chart,0
P18,Line chart,0
P19,Line chart,0
P20,Line chart,1
P21,Line chart,1
P22,Line chart,0
P23,Line chart,0
P24,Line chart,0
P25,Line chart,3
P26,Line chart,0
P27,Line chart,4
P28,Line chart,12
P29,Line chart,1
P30,Line chart,2
P31,Line chart,0
P01,Bar chart,0
P02,Bar chart,9
P03,Bar chart,0
P04,Bar chart,2
P05,Bar chart,1
P06,Bar chart,3
P07,Bar chart,0
P08,Bar chart,0
P09,Bar chart,0
P10,Bar chart,0
P11,Bar chart,6
P12,Bar chart,0
P13,Bar chart,0
P14,Bar chart,9
P15,Bar chart,0
P16,Bar chart,8
P17,Bar chart,2
P18,Bar chart,0
P19,Bar chart,2
P20,Bar chart,2
P21,Bar chart,0
P22,Bar chart,6
P23,Bar chart,0
P24,Bar chart,4
P25,Bar chart,10
P26,Bar chart,0
P27,Bar chart,0
P28,Bar chart,0
P29,Bar chart,3
P30,Bar chart,3
P31,Bar chart,2
P01,Pie chart,0
P02,Pie chart,0
P03,Pie chart,0
P04,Pie chart,0
P05,Pie chart,0
P06,Pie chart,1
P07,Pie chart,0
P08,Pie chart,0
P09,Pie chart,0
P10,Pie chart,0
P11,Pie chart,0
P12,Pie chart,0
P13,Pie chart,0
P14,Pie chart,0
P15,Pie chart,0
P16,Pie chart,0
P17,Pie chart,0
P18,Pie chart,0
P19,Pie chart,0
P20,Pie chart,0
P21,Pie chart,0
P22,Pie chart,0
P23,Pie chart,0
P24,Pie chart,2
P25,Pie chart,0
P26,Pie chart,0
P27,Pie chart,0
P28,Pie chart,0
P29,Pie chart,0
P30,Pie chart,0
P31,Pie chart,0
P01,Scatter plot,1
P02,Scatter plot,0
P03,Scatter plot,0
P04,Scatter plot,1
P05,Scatter plot,0
P06,Scatter plot,0
P07,Scatter plot,0
P08,Scatter plot,0
P09,Scatter plot,1
P10,Scatter plot,0
P11,Scatter plot,1
P12,Scatter plot,0
P13,Scatter plot,0
P14,Scatter plot,1
P15,Scatter plot,0
P16,Scatter plot,6
P17,Scatter plot,0
P18,Scatter plot,1
P19,Scatter plot,1
P20,Scatter plot,0
P21,Scatter plot,0
P22,Scatter plot,0
P23,Scatter plot,0
P24,Scatter plot,0
P25,Scatter plot,0
P26,Scatter plot,4
P27,Scatter plot,0
P28,Scatter plot,4
P29,Scatter plot,1
P30,Scatter plot,0
P31,Scatter plot,0
P01,Histogram,0
P02,Histogram,0
P03,Histogram,0
P04,Histogram,0
